Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,Open Int,EXCAUS
ZSN17,6/1/2017,916,958.25,907,954.75,38.75,4.23%,238709,695963,1.3295
ZSX17,7/1/2017,963.5,1047,963,1007.25,52.5,5.50%,264369,648861,1.269
ZSX17,8/1/2017,996.75,1000.25,921,945.25,-62,-6.16%,179662,645304,1.2608
ZSX17,9/1/2017,945.25,987,937.5,968.25,23,2.43%,181446,666063,1.2279
ZSX17,10/1/2017,967.5,1003.25,952.5,984.75,16.5,1.70%,276144,723623,1.2607
ZSF18,11/1/2017,984.75,1008.25,967,985.75,1,0.10%,177422,712476,1.2773
ZSF18,12/1/2017,985.75,1015,954.75,961.75,-24,-2.43%,260696,747180,1.2769
ZSH18,1/1/2018,967.5,1004.75,944.5,995.75,34,3.54%,192943,762139,1.2429
ZSH18,2/1/2018,995.25,1059.5,967.75,1055.5,59.75,6.00%,357868,781574,1.2588
ZSK18,3/1/2018,1053.75,1082.5,1009.25,1044.75,-10.75,-1.02%,243625,846900,1.2933
ZSK18,4/1/2018,1045.25,1078,983.5,1048.5,3.75,0.36%,323288,923139,1.2732
ZSN18,5/1/2018,1048.75,1055.5,992.5,1018.5,-30,-2.86%,208758,879489,1.2866
ZSN18,6/1/2018,1019.25,1026.5,864.5,880,-138.5,-13.60%,314440,893661,1.3125
ZSX18,7/1/2018,881.5,922.25,826.25,919,39,4.43%,180674,838432,1.3133
ZSX18,8/1/2018,913,915,828.75,843.5,-75.5,-8.22%,177774,797278,1.3042
ZSX18,9/1/2018,845.5,859.25,812.25,845.5,2,0.24%,165887,846360,1.3034
ZSX18,10/1/2018,845.5,892,843,851.75,6.25,0.74%,253545,839514,1.3004
ZSF19,11/1/2018,850.25,900.75,845.75,894.75,43,5.05%,163779,743667,1.3205
ZSF19,12/1/2018,919.75,941,880.5,895,0.25,0.03%,213232,723335,1.3436
ZSH19,1/1/2019,894.25,927.75,891.25,915.25,20.25,2.26%,154513,683829,1.33
ZSH19,2/1/2019,921,934.5,903,910.25,-5,-0.55%,246988,706877,1.3209
ZSK19,3/1/2019,909.5,924.75,883,884.25,-26,-2.86%,159586,693238,1.3371
ZSK19,4/1/2019,884,917,851.25,854,-30.25,-3.42%,228643,767900,1.3378
ZSN19,5/1/2019,853.75,892.75,791,877.75,23.75,2.78%,231637,763593,1.346
ZSN19,6/1/2019,875.75,948,848.25,923,45.25,5.16%,289224,734373,1.3289
ZSX19,7/1/2019,933.75,936.5,880,881.5,-41.5,-4.50%,173658,658701,1.3105
ZSX19,8/1/2019,880.75,896.75,852.5,869,-12.5,-1.42%,171437,636025,1.3273
ZSX19,9/1/2019,866.25,906.75,851,906,37,4.26%,172260,675039,1.3241
ZSX19,10/1/2019,904,953,903.25,932.25,26.25,2.90%,300572,736986,1.3189
ZSF20,11/1/2019,931,942.25,875.75,876.75,-55.5,-5.95%,170822,753829,1.3237
ZSF20,12/1/2019,877.75,956.25,867.5,955.5,78.75,8.98%,237826,807431,1.3169
ZSH20,1/1/2020,956,961,872.25,872.5,-83,-8.69%,177135,767124,1.3089
ZSH20,2/1/2020,870.75,910.25,868.75,892.75,20.25,2.32%,290155,846942,1.3286
ZSK20,3/1/2020,892.25,912.5,821,886,-6.75,-0.76%,250007,790798,1.396
ZSK20,4/1/2020,885.75,887.25,818.5,855.25,-30.75,-3.47%,224248,826658,1.4048
ZSN20,5/1/2020,854.5,861.25,828.5,840.75,-14.5,-1.70%,167088,849948,1.3972
ZSN20,6/1/2020,843.5,887,834,882.25,41.5,4.94%,252852,865513,1.3552
ZSX20,7/1/2020,882,912.5,871.5,892.5,10.25,1.16%,187078,830455,1.3497
ZSX20,8/1/2020,892.5,966.75,865.25,953.5,61,6.83%,211090,839762,1.3229
ZSX20,9/1/2020,951.5,1046.75,942.75,1023.5,70,7.34%,269973,938438,1.323
ZSX20,10/1/2020,1023.25,1088.5,1013,1056.25,32.75,3.20%,342755,1010657,1.3218
ZSF21,11/1/2020,1054.5,1200,1045,1168.5,112.25,10.63%,245038,928015,1.3073
ZSF21,12/1/2020,1169.25,1320.75,1142.5,1311,142.5,12.20%,276530,935198,1.2809
ZSH21,1/1/2021,1319.25,1436.5,1298,1370,59,4.50%,282305,935234,1.2725
ZSH21,2/1/2021,1375,1445.75,1336.75,1404.25,34.25,2.50%,268659,905457,1.2696
ZSK21,3/1/2021,1415,1460,1364.25,1436.75,32.5,2.31%,187817,857961,1.2569
ZSK21,4/1/2021,1444,1574.75,1374.75,1534.25,97.5,6.79%,263170,873376,1.2494
ZSN21,5/1/2021,1549.25,1667.5,1489.25,1530.5,-3.75,-0.24%,189105,806461,1.2125
ZSN21,6/1/2021,1542,1589,1240.5,1399,-131.5,-8.59%,254439,773209,1.222
ZSX21,7/1/2021,1402.5,1423,1300.5,1349.25,-49.75,-3.56%,157125,680714,1.253
ZSX21,8/1/2021,1349,1379.75,1277.25,1292.5,-56.75,-4.21%,151260,667050,1.2599
ZSX21,9/1/2021,1294,1308,1249,1256,-36.5,-2.82%,147846,667573,1.2671
ZSX21,10/1/2021,1255,1266.25,1184.5,1249.5,-6.5,-0.52%,256552,712213,1.2434
ZSF22,11/1/2021,1249,1289.25,1181.25,1217.25,-32.25,-2.58%,173006,658745,1.2567
ZSF22,12/1/2021,1222,1384.5,1216.25,1339.25,122,10.02%,217678,654704,1.28
ZSH22,1/1/2022,1349,1496.75,1342,1490.5,151.25,11.29%,213085,701786,1.2622
ZSH22,2/1/2022,1490,1759.25,1485,1636.75,146.25,9.81%,336390,823876,1.2711
ZSK22,3/1/2022,1641.5,1736.5,1613.5,1618.25,-18.5,-1.13%,164258,751143,1.266
ZSK22,4/1/2022,1620.75,1734,1576.75,1684.75,66.5,4.11%,211516,746268,1.2628
ZSN22,5/1/2022,1684.5,1749.25,1578,1683.25,-1.5,-0.09%,158513,714940,1.2859
ZSN22,6/1/2022,1687.25,1740.75,1399.25,1458,-225.25,-13.38%,234000,731704,1.2804
ZSX22,7/1/2022,1462.25,1489,1288.5,1468.5,10.5,0.72%,169759,606032,1.2936
ZSX22,8/1/2022,1477.5,1484.5,1356,1422.5,-46,-3.13%,155100,593947,1.2917
ZSX22,9/1/2022,1420,1508.75,1363.25,1364.75,-57.75,-4.06%,196353,650415,1.3339
ZSX22,10/1/2022,1364,1424,1350,1419.5,54.75,4.01%,261694,670483,1.3689
ZSF23,11/1/2022,1417,1478.5,1406.75,1469.5,50,3.52%,167782,614212,1.3457
ZSF23,12/1/2022,1466,1537.5,1425.25,1524,54.5,3.71%,224174,623335,1.3585
ZSH23,1/1/2023,1524.25,1548.5,1465,1538,14,0.92%,206938,644069,1.3422
ZSH23,2/1/2023,1537.5,1555.5,1477.75,1479,-59,-3.84%,283757,712743,1.3454
ZSK23,3/1/2023,1481.5,1538.5,1405,1505.5,26.5,1.79%,231190,702942,1.3683
ZSK23,4/1/2023,1510,1527.75,1396.5,1419.25,-86.25,-5.73%,277943,682483,1.3484
ZSN23,5/1/2023,1419.25,1446.75,1270.75,1299.75,-119.5,-8.42%,218928,635815,1.3517
ZSN23,6/1/2023,1299.75,1388,1202.5,1343.25,43.5,3.35%,327659,649389,1.3286
ZSX23,7/1/2023,1343.75,1435,1315.5,1331.75,-11.5,-0.86%,226704,647444,1.3211
ZSX23,8/1/2023,1335,1409.5,1282.25,1368.75,37,2.78%,189484,657181,1.3478
ZSX23,9/1/2023,1369,1385,1272.5,1275,-93.75,-6.85%,232487,755199,1.3531
ZSX23,10/1/2023,1272.5,1331.25,1250.5,1310.5,35.5,2.78%,317521,807208,1.3712
ZSF24,11/1/2023,1311,1398.5,1304.75,1342.75,32.25,2.46%,236465,732613,1.3707
ZSF24,12/1/2023,1342,1360,1292,1298,-44.75,-3.33%,255403,688756,1.3416
ZSH24,1/1/2024,1290.5,1290.75,1187.75,1222.25,-75.75,-5.84%,233863,693255,1.3423
ZSH24,2/1/2024,1221.25,1221.75,1128.5,1140.75,-81.5,-6.67%,290452,766324,1.35
ZSK24,3/1/2024,1139,1226.75,1137.25,1191.5,50.75,4.45%,246195,760467,1.3536
ZSK24,4/1/2024,1196.25,1201.75,1145.75,1163,-28.5,-2.39%,305785,820662,1.3674
ZSN24,5/1/2024,1161,1258.25,1156.25,1205,42,3.61%,255976,770174,1.3667
ZSN24,6/1/2024,1204.25,1205.5,1100,1104,-101,-8.38%,339712,801602,1.3705
ZSX24,7/1/2024,1104,1133.75,1015,1022.5,-81.5,-7.38%,251723,814699,1.3714
ZSX24,8/1/2024,1023,1042,955,1000,-22.5,-2.20%,206434,808467,1.3655
