trade_day,month,serial,sandp,corn
26-Aug-15,8/1/2015,42217,1940.5,361.75
27-Aug-15,8/1/2015,42217,1987.7,363.75
28-Aug-15,8/1/2015,42217,1988.9,363.25
31-Aug-15,8/1/2015,42217,1972.2,363.75
1-Sep-15,9/1/2015,42248,1913.9,356
2-Sep-15,9/1/2015,42248,1948.9,354
3-Sep-15,9/1/2015,42248,1951.1,347.75
4-Sep-15,9/1/2015,42248,1921.2,349.5
8-Sep-15,9/1/2015,42248,1969.4,355
9-Sep-15,9/1/2015,42248,1942,356.5
10-Sep-15,9/1/2015,42248,1952.3,361.75
11-Sep-15,9/1/2015,42248,1961.1,374.5
14-Sep-15,9/1/2015,42248,1953,379
15-Sep-15,9/1/2015,42248,1978.1,390.5
16-Sep-15,9/1/2015,42248,1995.3,386
17-Sep-15,9/1/2015,42248,1990.2,379.75
18-Sep-15,9/1/2015,42248,1958,377.25
21-Sep-15,9/1/2015,42248,1967,384.5
22-Sep-15,9/1/2015,42248,1942.7,380.5
23-Sep-15,9/1/2015,42248,1938.8,383.25
24-Sep-15,9/1/2015,42248,1932.2,381.5
25-Sep-15,9/1/2015,42248,1931.3,389
28-Sep-15,9/1/2015,42248,1881.8,386.75
29-Sep-15,9/1/2015,42248,1884.1,389
30-Sep-15,9/1/2015,42248,1920,387.75
1-Oct-15,10/1/2015,42278,1923.8,388.75
2-Oct-15,10/1/2015,42278,1951.4,389.25
5-Oct-15,10/1/2015,42278,1987.1,393.5
6-Oct-15,10/1/2015,42278,1979.9,398.25
7-Oct-15,10/1/2015,42278,1995.8,395.75
8-Oct-15,10/1/2015,42278,2013.4,391.25
9-Oct-15,10/1/2015,42278,2014.9,382.75
12-Oct-15,10/1/2015,42278,2017.5,380.75
13-Oct-15,10/1/2015,42278,2003.7,384.5
14-Oct-15,10/1/2015,42278,1994.2,379
15-Oct-15,10/1/2015,42278,2023.9,375.5
16-Oct-15,10/1/2015,42278,2033.1,376.75
19-Oct-15,10/1/2015,42278,2033.7,373
20-Oct-15,10/1/2015,42278,2030.8,376.75
21-Oct-15,10/1/2015,42278,2018.9,380.75
22-Oct-15,10/1/2015,42278,2052.5,378.25
23-Oct-15,10/1/2015,42278,2075.2,379.75
26-Oct-15,10/1/2015,42278,2071.2,384.5
27-Oct-15,10/1/2015,42278,2065.9,380
28-Oct-15,10/1/2015,42278,2090.4,376
29-Oct-15,10/1/2015,42278,2089.4,380
30-Oct-15,10/1/2015,42278,2079.4,382.25
2-Nov-15,11/1/2015,42309,2104.1,376.5
3-Nov-15,11/1/2015,42309,2109.8,380.5
4-Nov-15,11/1/2015,42309,2102.3,380.5
5-Nov-15,11/1/2015,42309,2099.9,374.5
6-Nov-15,11/1/2015,42309,2099.2,373
9-Nov-15,11/1/2015,42309,2078.6,366.75
10-Nov-15,11/1/2015,42309,2081.7,359
11-Nov-15,11/1/2015,42309,2075,362.25
12-Nov-15,11/1/2015,42309,2046,362
13-Nov-15,11/1/2015,42309,2023,358.25
16-Nov-15,11/1/2015,42309,2053.2,360
17-Nov-15,11/1/2015,42309,2050.4,362
18-Nov-15,11/1/2015,42309,2083.6,361.75
19-Nov-15,11/1/2015,42309,2081.2,364.25
20-Nov-15,11/1/2015,42309,2089.2,363.25
23-Nov-15,11/1/2015,42309,2086.6,367.25
24-Nov-15,11/1/2015,42309,2089.1,364.25
25-Nov-15,11/1/2015,42309,2088.9,366
27-Nov-15,11/1/2015,42309,2090.1,359.25
30-Nov-15,11/1/2015,42309,2080.4,365
1-Dec-15,12/1/2015,42339,2102.6,367
2-Dec-15,12/1/2015,42339,2079.5,364
3-Dec-15,12/1/2015,42339,2049.6,370.25
4-Dec-15,12/1/2015,42339,2091.7,376.25
7-Dec-15,12/1/2015,42339,2077.1,368.5
8-Dec-15,12/1/2015,42339,2063.6,370
9-Dec-15,12/1/2015,42339,2047.6,371.75
10-Dec-15,12/1/2015,42339,2052.2,377.25
11-Dec-15,12/1/2015,42339,2012.4,373
14-Dec-15,12/1/2015,42339,2021.9,381.75
15-Dec-15,12/1/2015,42339,2043.4,377.25
16-Dec-15,12/1/2015,42339,2073.1,369.75
17-Dec-15,12/1/2015,42339,2041.9,374.25
18-Dec-15,12/1/2015,42339,2005.6,374.5
21-Dec-15,12/1/2015,42339,2021.2,372
22-Dec-15,12/1/2015,42339,2039,366.25
23-Dec-15,12/1/2015,42339,2064.3,365.5
24-Dec-15,12/1/2015,42339,2061,364.5
28-Dec-15,12/1/2015,42339,2056.5,361
29-Dec-15,12/1/2015,42339,2078.4,362.5
30-Dec-15,12/1/2015,42339,2063.4,359
31-Dec-15,12/1/2015,42339,2043.9,358.75
4-Jan-16,1/1/2016,42370,2012.7,351.5
5-Jan-16,1/1/2016,42370,2016.7,353
6-Jan-16,1/1/2016,42370,1990.3,353.25
7-Jan-16,1/1/2016,42370,1943.1,353
8-Jan-16,1/1/2016,42370,1922,357
11-Jan-16,1/1/2016,42370,1923.7,351.75
12-Jan-16,1/1/2016,42370,1938.7,356.75
13-Jan-16,1/1/2016,42370,1890.3,358
14-Jan-16,1/1/2016,42370,1921.8,358
15-Jan-16,1/1/2016,42370,1880.3,363.25
19-Jan-16,1/1/2016,42370,1881.3,367.75
20-Jan-16,1/1/2016,42370,1859.3,368.75
21-Jan-16,1/1/2016,42370,1869,367
22-Jan-16,1/1/2016,42370,1906.9,370.25
25-Jan-16,1/1/2016,42370,1877.1,369.75
26-Jan-16,1/1/2016,42370,1903.6,369.25
27-Jan-16,1/1/2016,42370,1883,369.25
28-Jan-16,1/1/2016,42370,1893.4,365.5
29-Jan-16,1/1/2016,42370,1940.2,372
1-Feb-16,2/1/2016,42401,1939.4,371.25
2-Feb-16,2/1/2016,42401,1903,372.5
3-Feb-16,2/1/2016,42401,1912.5,371
4-Feb-16,2/1/2016,42401,1915.5,368.5
5-Feb-16,2/1/2016,42401,1880.1,365.75
8-Feb-16,2/1/2016,42401,1853.4,362.25
9-Feb-16,2/1/2016,42401,1852.2,361
10-Feb-16,2/1/2016,42401,1851.9,360.25
11-Feb-16,2/1/2016,42401,1829.1,360.25
12-Feb-16,2/1/2016,42401,1864.8,358.75
16-Feb-16,2/1/2016,42401,1895.6,363
17-Feb-16,2/1/2016,42401,1926.8,367.25
18-Feb-16,2/1/2016,42401,1917.8,365.5
19-Feb-16,2/1/2016,42401,1917.8,365.5
22-Feb-16,2/1/2016,42401,1945.5,367.5
23-Feb-16,2/1/2016,42401,1921.3,362
24-Feb-16,2/1/2016,42401,1929.8,359.75
25-Feb-16,2/1/2016,42401,1951.7,355.5
26-Feb-16,2/1/2016,42401,1948.1,354.5
29-Feb-16,2/1/2016,42401,1932.2,353.5
1-Mar-16,3/1/2016,42430,1978.4,353.75
2-Mar-16,3/1/2016,42430,1986.5,354.5
3-Mar-16,3/1/2016,42430,1993.4,353.75
