Date,Region,Cash,Contract,Futures
3/12/2015,Central,3.62,Sep,4.03
3/19/2015,Central,3.7,Sep,3.9
3/26/2015,Central,3.84,Sep,4.07
4/2/2015,Central,3.36,Sep,4.02
4/9/2015,Central,3.61,Sep,3.94
4/16/2015,Central,3.63,Sep,3.91
4/23/2015,Central,3.2,Sep,3.84
4/30/2015,Central,3.2,Sep,3.73
5/7/2015,Central,3.38,Sep,3.67
5/14/2015,Central,3.49,Sep,3.75
5/21/2015,Central,3.47,Sep,3.72
5/28/2015,Central,3.57,Sep,3.6
6/4/2015,Central,3.53,Sep,3.7
6/11/2015,Central,3.56,Sep,3.63
6/18/2015,Central,3.59,Sep,3.64
6/25/2015,Central,3.77,Sep,3.83
1/1/2015,East,4.14,Dec,4.2
1/8/2015,East,4.12,Dec,4.17
1/15/2015,East,3.98,Dec,4.08
1/22/2015,East,4.02,Dec,4.13
1/29/2015,East,3.9,Dec,4.03
2/5/2015,East,4.03,Dec,4.16
2/12/2015,East,4.01,Dec,4.13
2/19/2015,East,4.08,Dec,4.2
2/26/2015,East,4.02,Dec,4.14
3/5/2015,East,4.09,Dec,4.14
3/12/2015,East,4.07,Dec,4.12
3/19/2015,East,3.92,Dec,3.99
3/26/2015,East,4.09,Dec,4.15
4/2/2015,East,4.05,Dec,4.11
4/9/2015,East,3.88,Dec,4.04
4/16/2015,East,3.94,Dec,4
4/23/2015,East,3.89,Dec,3.95
4/30/2015,East,3.81,Dec,3.84
5/7/2015,East,3.79,Dec,3.77
5/14/2015,East,3.81,Dec,3.85
5/21/2015,East,3.82,Dec,3.82
5/28/2015,East,3.74,Dec,3.7
6/4/2015,East,3.9,Dec,3.81
6/11/2015,East,3.81,Dec,3.74
6/18/2015,East,3.81,Dec,3.73
6/25/2015,East,3.99,Dec,3.92
1/1/2015,East,4.14,Jul,4.11
1/8/2015,East,4.12,Jul,4.1
1/15/2015,East,3.98,Jul,3.94
1/22/2015,East,4.02,Jul,3.99
1/29/2015,East,3.9,Jul,3.88
2/5/2015,East,4.03,Jul,4.01
2/12/2015,East,4.01,Jul,3.98
2/19/2015,East,4.08,Jul,4.05
2/26/2015,East,4.02,Jul,3.97
3/5/2015,East,4.09,Jul,3.98
3/12/2015,East,4.07,Jul,3.96
3/19/2015,East,3.92,Jul,3.82
3/26/2015,East,4.09,Jul,3.99
4/2/2015,East,4.05,Jul,3.95
4/9/2015,East,3.88,Jul,3.86
4/16/2015,East,3.94,Jul,3.83
4/23/2015,East,3.89,Jul,3.77
4/30/2015,East,3.81,Jul,3.66
5/7/2015,East,3.79,Jul,3.62
5/14/2015,East,3.81,Jul,3.68
5/21/2015,East,3.82,Jul,3.65
5/28/2015,East,3.74,Jul,3.54
6/4/2015,East,3.9,Jul,3.64
6/11/2015,East,3.81,Jul,3.57
6/18/2015,East,3.81,Jul,3.58
6/25/2015,East,3.99,Jul,3.77
1/1/2015,East,4.14,Sep,4.14
1/8/2015,East,4.12,Sep,4.12
1/15/2015,East,3.98,Sep,4
1/22/2015,East,4.02,Sep,4.05
1/29/2015,East,3.9,Sep,3.95
2/5/2015,East,4.03,Sep,4.08
2/12/2015,East,4.01,Sep,4.05
2/19/2015,East,4.08,Sep,4.12
2/26/2015,East,4.02,Sep,4.04
3/5/2015,East,4.09,Sep,4.06
3/12/2015,East,4.07,Sep,4.03
3/19/2015,East,3.92,Sep,3.9
3/26/2015,East,4.09,Sep,4.07
4/2/2015,East,4.05,Sep,4.02
4/9/2015,East,3.88,Sep,3.94
4/16/2015,East,3.94,Sep,3.91
4/23/2015,East,3.89,Sep,3.84
4/30/2015,East,3.81,Sep,3.73
5/7/2015,East,3.79,Sep,3.67
5/14/2015,East,3.81,Sep,3.75
5/21/2015,East,3.82,Sep,3.72
5/28/2015,East,3.74,Sep,3.6
6/4/2015,East,3.9,Sep,3.7
6/11/2015,East,3.81,Sep,3.63
6/18/2015,East,3.81,Sep,3.64
6/25/2015,East,3.99,Sep,3.83
1/1/2015,North,3.98,Dec,4.2
1/8/2015,North,4.17,Dec,4.17
1/15/2015,North,4.03,Dec,4.08
1/22/2015,North,4.07,Dec,4.13
1/29/2015,North,3.94,Dec,4.03
2/5/2015,North,4.08,Dec,4.16
2/12/2015,North,4.06,Dec,4.13
2/19/2015,North,4.13,Dec,4.2
