stock1,stock2,stock3,stock4,stock5,stock6,stock7,stock8
12.75785101,9.451177041,6.14765597,3.184179015,11.59027675,8.545510873,5.44607567,2.226134608
12.75785101,9.015343135,5.301117624,1.032124039,14.49561485,10.33080168,6.163821244,1.915990476
12.75785101,8.982513183,5.246497723,1.536143625,12.31353557,8.899942759,5.608364267,2.255626635
12.75785101,9.235045148,5.696837315,2.218837971,13.01526017,9.471754778,6.002566706,2.630827213
12.75785101,9.212574938,5.713460297,2.471477528,11.98040297,8.657775471,5.27988325,1.800565112
12.75785101,9.48872699,6.212288157,3.118741316,11.66539263,8.471132853,5.087046977,1.64145467
12.75785101,9.385457391,6.012703745,2.172963008,13.96207552,10.11875653,6.239340324,2.277837942
12.75785101,9.180373257,5.514798315,1.553907759,13.4898597,9.504519381,5.538154909,1.427539633
12.75785101,9.441410973,6.12872163,2.885964311,12.85432764,9.33670333,5.768538656,2.269783612
12.75785101,9.239759501,5.670416286,1.952888094,12.49296097,8.759565808,4.997409503,1.17489335
12.75785101,9.297452457,5.87624748,2.567990536,13.60117695,10.15534586,6.713304652,3.479393188
12.75785101,8.938382794,5.084126203,0.695420302,16.3015746,11.92856716,7.587797347,3.352401811
12.75785101,9.200024398,5.795159385,2.476563578,12.66190456,9.211198706,5.842075933,2.359930404
12.75785101,9.178534492,5.697899176,2.154073221,12.67832446,9.058014656,5.487933443,2.126412213
12.75785101,9.584335888,6.433382407,3.100434625,12.62163442,9.507289352,6.540910875,3.517103383
12.75785101,9.098746466,5.504276548,1.763862587,14.35059131,10.26811261,6.155891238,2.188226749
12.75785101,8.970754272,5.227628925,1.262965042,13.73612414,9.680953693,5.445492211,1.039422179
12.75785101,9.018581591,5.304009422,1.528246774,13.59281363,9.685527216,5.700155288,1.822296522
12.75785101,9.058300748,5.409224205,2.136955636,12.20224809,9.066342151,5.893830245,2.500090652
12.75785101,9.022799327,5.366998248,2.027580103,12.087126,8.701395686,5.261694042,1.975419739
