Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
14.377,14.15747092,14.15999551,13.78305117,14.25301177,NA,NA,NA
14.377,15.39320175,15.38463165,16.67790701,16.44639308,NA,NA,NA
14.377,17.84338463,17.84414329,17.39654867,16.83673575,NA,NA,NA
14.377,13.40839306,13.40919167,12.25387672,12.81743084,NA,NA,NA
14.377,14.22232327,14.21288734,12.80189609,13.58402119,NA,NA,NA
14.377,12.27548817,12.27870667,11.74751255,11.46550234,NA,NA,NA
14.377,13.55877833,13.55253946,11.79037553,11.5811199,NA,NA,NA
14.377,12.34545041,12.3486172,11.2695753,10.97901221,NA,NA,NA
14.377,15.40941099,15.41985284,15.41663863,15.42217175,NA,NA,NA
14.377,12.71237189,12.71961941,12.88005484,13.51877868,NA,NA,NA
14.377,13.94600247,13.94370881,15.21373844,15.10643116,NA,NA,NA
14.377,13.09779972,13.1016927,12.73275615,12.64169291,NA,NA,NA
14.377,15.2794961,15.2815099,14.46222645,14.18434896,NA,NA,NA
14.377,17.23601941,17.23463884,18.74685897,17.5000848,NA,NA,NA
14.377,14.19265931,14.18710175,13.22416865,13.17100838,NA,NA,NA
14.377,13.59573829,13.58697013,13.08781164,13.93135735,NA,NA,NA
14.377,14.88118798,14.87471935,15.90202854,15.49826206,NA,NA,NA
14.377,13.54048461,13.55209764,12.58726098,12.51895163,NA,NA,NA
14.377,16.41538908,16.42137,16.9006848,17.34510107,NA,NA,NA
14.377,13.0378494,13.03850356,12.95366079,12.93376472,NA,NA,NA
14.377,13.7898788,13.77261926,13.22946379,13.28072557,NA,NA,NA
14.377,13.38739136,13.38112143,13.67251423,13.72561969,NA,NA,NA
14.377,14.95904284,14.9506429,15.76596919,15.79977936,NA,NA,NA
14.377,15.54301756,15.54152964,14.67771296,15.37784971,NA,NA,NA
14.377,14.21631779,14.23841236,14.74493129,14.49191587,NA,NA,NA
14.377,14.17389116,14.1832571,15.01293067,15.62180354,NA,NA,NA
14.377,12.93945318,12.9545455,13.1083886,12.71749965,NA,NA,NA
14.377,14.69543859,14.69977445,15.80924202,15.76870919,NA,NA,NA
14.377,14.03936613,14.04010058,14.10315243,13.87128697,NA,NA,NA
14.377,12.34510936,12.35213681,12.14245584,11.99174102,NA,NA,NA
14.377,14.41408087,14.40975794,12.29538208,12.47388004,NA,NA,NA
14.377,13.46465448,13.46379621,12.49542528,12.6664105,NA,NA,NA
14.377,13.03015684,13.02798698,13.50233881,13.4198871,NA,NA,NA
14.377,11.53758617,11.52324694,10.5762936,10.49464201,NA,NA,NA
14.377,14.21502722,14.20778837,14.5321273,14.45560538,NA,NA,NA
14.377,14.27210014,14.27621433,14.02208273,14.58364684,NA,NA,NA
14.377,14.12768666,14.13466645,11.94357554,11.91622215,NA,NA,NA
14.377,13.3903559,13.38927765,13.00709259,13.1519104,NA,NA,NA
14.377,14.96463317,14.96116172,14.35431581,14.39982109,NA,NA,NA
14.377,13.56946801,13.5541728,13.17160586,12.93379124,NA,NA,NA
14.377,13.67565974,13.67177725,14.00176513,13.25529495,NA,NA,NA
14.377,14.75026383,14.7476752,15.72668059,14.90137006,NA,NA,NA
14.377,13.77015826,13.76787536,15.5101355,16.24079498,NA,NA,NA
14.377,13.52203891,13.5182194,12.35117606,12.44684796,NA,NA,NA
14.377,14.01831224,14.02165279,14.63199463,15.20684595,NA,NA,NA
14.377,14.03641742,14.01719212,13.71089062,13.5015768,NA,NA,NA
14.377,14.36224249,14.37900516,16.64119797,16.60656833,NA,NA,NA
14.377,12.65222128,12.65008809,12.5346757,12.62905275,NA,NA,NA
14.377,14.62564049,14.61998867,12.43597925,11.9202227,NA,NA,NA
14.377,13.86186121,13.8633684,13.07061515,12.75671249,NA,NA,NA
14.377,12.56251473,12.56636428,12.67573962,12.37233191,NA,NA,NA
14.377,15.2110177,15.21523107,16.37901858,16.90768919,NA,NA,NA
14.377,11.84886105,11.85569681,10.41323714,10.16460277,NA,NA,NA
14.377,12.68570632,12.69044064,14.37809482,13.87986319,NA,NA,NA
14.377,15.06535785,15.0616366,14.63042581,15.02937959,NA,NA,NA
14.377,11.53812805,11.54131038,10.50054264,10.99023739,NA,NA,NA
14.377,14.77507916,14.77989297,14.46191749,14.49897626,NA,NA,NA
14.377,14.00522455,14.00457436,13.79565331,13.27243138,NA,NA,NA
14.377,16.18517354,16.17940136,14.15686717,13.35651188,NA,NA,NA
14.377,13.77382126,13.77308044,13.07432218,13.67932885,NA,NA,NA
14.377,13.60721331,13.60935484,11.93067289,12.40217248,NA,NA,NA
14.377,16.17099883,16.18045853,13.44075967,13.15859545,NA,NA,NA
14.377,14.48299511,14.4943993,14.33017761,14.39110163,NA,NA,NA
14.377,14.65998851,14.66942712,14.66874857,13.84556523,NA,NA,NA
14.377,13.09493334,13.08406776,15.67134778,15.47507982,NA,NA,NA
14.377,14.3313653,14.34821864,15.92791326,16.31828328,NA,NA,NA
14.377,14.55373423,14.56305787,14.53450072,15.07805929,NA,NA,NA
14.377,14.09752016,14.10269664,13.06067525,13.14722342,NA,NA,NA
14.377,15.24737751,15.23015344,14.88762363,14.83595727,NA,NA,NA
14.377,16.18556173,16.18240944,17.06236345,17.32503501,NA,NA,NA
14.377,13.44823774,13.4560561,13.33420285,13.48585648,NA,NA,NA
14.377,15.62633225,15.64170515,16.1203454,16.26294948,NA,NA,NA
14.377,16.15082861,16.15394319,14.51294521,15.01325587,NA,NA,NA
14.377,14.30107612,14.29454552,14.2536913,14.49430495,NA,NA,NA
14.377,15.67506123,15.66677589,14.65835127,15.05436197,NA,NA,NA
14.377,13.85845191,13.86544671,15.86977001,15.53382002,NA,NA,NA
14.377,14.63919288,14.63802294,13.77827415,13.70905439,NA,NA,NA
14.377,11.93261381,11.93545212,12.06669875,11.94048436,NA,NA,NA
14.377,13.86979185,13.86726909,13.19483936,13.06578166,NA,NA,NA
14.377,15.14555602,15.14966643,14.08583457,13.13622737,NA,NA,NA
14.377,12.74822964,12.7409056,12.60496959,13.46939836,NA,NA,NA
14.377,13.71740903,13.73267052,13.33139253,13.34753794,NA,NA,NA
14.377,13.26661397,13.2665045,14.21010555,13.73027018,NA,NA,NA
14.377,16.56985171,16.57390484,15.22427808,14.78185989,NA,NA,NA
14.377,16.58786079,16.5829527,16.12738604,16.71770395,NA,NA,NA
14.377,15.88153801,15.88722326,14.78033495,14.44580476,NA,NA,NA
14.377,16.59782894,16.57643138,14.95637961,15.38048048,NA,NA,NA
14.377,14.74979017,14.749962,14.99743873,14.85056358,NA,NA,NA
14.377,14.77566883,14.7845827,13.69216775,13.86812146,NA,NA,NA
14.377,13.567831,13.57987261,13.52658905,13.12988896,NA,NA,NA
14.377,15.20108569,15.19814882,16.53011498,15.65745865,NA,NA,NA
14.377,13.98460116,13.97862202,12.94679385,13.2856761,NA,NA,NA
14.377,13.7868231,13.77482261,12.33111669,11.73146096,NA,NA,NA
14.377,14.31355149,14.30223799,14.43372899,14.17651697,NA,NA,NA
14.377,13.11530896,13.10994126,12.58373296,13.34167458,NA,NA,NA
14.377,14.6302958,14.64478069,13.62843575,14.03312612,NA,NA,NA
14.377,15.57314456,15.56929311,14.30610291,13.56453003,NA,NA,NA
14.377,14.09541894,14.10149216,14.69611541,15.15174141,NA,NA,NA
14.377,13.89045552,13.89546033,14.7118062,14.64268652,NA,NA,NA
14.377,15.51997122,15.52497531,17.10220174,17.38256377,NA,NA,NA
14.377,14.60121905,14.59406612,13.75806747,13.74327858,NA,NA,NA
14.377,15.09128448,15.08384871,15.13903392,16.04448999,NA,NA,NA
14.377,13.7267315,13.73179949,13.08690237,13.04544488,NA,NA,NA
14.377,13.45664837,13.44764571,12.87373275,12.26634107,NA,NA,NA
14.377,14.16200551,14.16884629,14.54452752,15.36822044,NA,NA,NA
14.377,15.67140422,15.66073737,15.10279053,15.06377401,NA,NA,NA
14.377,14.03169635,14.02912461,13.50676785,14.11132912,NA,NA,NA
14.377,14.37776468,14.36150019,13.45766394,14.13823551,NA,NA,NA
14.377,14.2697298,14.2708723,14.01257321,13.8895723,NA,NA,NA
14.377,13.63846462,13.62957243,12.98528012,12.70219615,NA,NA,NA
14.377,14.12300294,14.12411649,12.26992322,11.89763887,NA,NA,NA
14.377,13.74318029,13.72996618,12.38390889,12.88633187,NA,NA,NA
14.377,13.31972837,13.30210734,13.39859277,13.50419199,NA,NA,NA
14.377,14.6573143,14.64362582,15.93717723,15.67468186,NA,NA,NA
14.377,15.58242293,15.5816497,15.6437256,15.08016803,NA,NA,NA
14.377,15.58373384,15.56205745,14.79633927,14.08185921,NA,NA,NA
14.377,14.77820469,14.7792299,15.58541708,15.0771967,NA,NA,NA
14.377,14.5185338,14.50526141,14.85462231,14.67472418,NA,NA,NA
14.377,13.00117081,12.99206247,13.35063495,13.70006367,NA,NA,NA
14.377,13.91055503,13.89999627,13.09792325,13.30953654,NA,NA,NA
14.377,15.14145279,15.14967558,14.96124098,14.20613906,NA,NA,NA
14.377,14.32834718,14.30995885,13.63237398,14.69847808,NA,NA,NA
14.377,15.29532341,15.30485383,15.30141126,14.74276669,NA,NA,NA
14.377,15.92572375,15.92621927,13.99407229,13.25782265,NA,NA,NA
14.377,13.64616661,13.64877601,16.07951861,15.12266997,NA,NA,NA
14.377,15.36971012,15.37095881,17.23086558,17.23679124,NA,NA,NA
14.377,16.27791186,16.27455278,15.47730168,16.39098862,NA,NA,NA
14.377,12.80184722,12.80108801,13.39302929,13.43195226,NA,NA,NA
14.377,14.11804114,14.1232972,13.0710184,13.15625549,NA,NA,NA
14.377,14.62126225,14.63306301,15.09538507,14.67136993,NA,NA,NA
14.377,12.82173607,12.82695029,13.57213139,13.60866518,NA,NA,NA
14.377,15.11093135,15.09734534,16.24300126,15.89692922,NA,NA,NA
14.377,12.77391218,12.77896492,13.00430741,12.87935251,NA,NA,NA
14.377,12.3019991,12.29678953,11.11217928,10.74671937,NA,NA,NA
14.377,15.59408665,15.59995315,14.19817673,13.66509337,NA,NA,NA
14.377,15.04083577,15.04294685,14.08705087,15.39653315,NA,NA,NA
14.377,16.40068638,16.40763918,16.77877548,16.96464969,NA,NA,NA
14.377,12.96541785,12.96510756,12.93450654,12.38850711,NA,NA,NA
14.377,15.83177183,15.83385992,15.27094231,13.96085797,NA,NA,NA
14.377,15.37450924,15.37587484,15.70256202,14.9736271,NA,NA,NA
14.377,14.17518371,14.16504655,15.51559858,15.5600001,NA,NA,NA
14.377,14.54016042,14.55026427,15.91924966,15.96574085,NA,NA,NA
14.377,11.31128283,11.31360734,11.8322316,12.02497707,NA,NA,NA
14.377,13.94433595,13.94681357,14.3721679,13.93814182,NA,NA,NA
14.377,16.06332183,16.06753036,18.9904591,20.45543743,NA,NA,NA
14.377,12.83170494,12.83244045,13.02209028,13.3503442,NA,NA,NA
14.377,15.3163729,15.31832555,14.69801804,14.44454624,NA,NA,NA
14.377,15.2701882,15.27946587,15.35701333,15.61258176,NA,NA,NA
14.377,14.86934589,14.88387841,14.67505773,14.73132736,NA,NA,NA
14.377,16.67051819,16.67340975,15.74814092,16.53835151,NA,NA,NA
14.377,12.66880897,12.65032002,13.93979685,13.65931897,NA,NA,NA
