P_1_5,P_2_5,P_3_5,P_4_5,P_5_5
3.496613957,2.762404575,2.869883796,2.15156536,1.734880146
3.496613957,2.93847071,2.975278981,2.820678134,2.384596644
3.496613957,3.084688361,3.212818486,4.601168675,5.251127933
3.496613957,2.953997408,3.186536456,4.362863898,3.877388388
3.496613957,3.853644989,3.725826531,3.849551172,3.734439556
3.496613957,3.476239765,3.659138194,3.006003529,2.571865486
3.496613957,4.443047461,4.22967738,3.800696884,4.320731513
3.496613957,3.368494097,3.339759764,2.613565929,2.914310924
3.496613957,3.526561331,3.53174265,4.287146084,4.122706919
3.496613957,4.4056561,4.130282129,4.164317567,4.019391141
3.496613957,3.808453974,3.791424864,4.164065489,4.077523769
3.496613957,2.953675234,2.999798088,2.741661187,1.988072946
3.496613957,3.110801337,3.300743254,2.97781077,2.440895051
3.496613957,3.829366932,3.505423681,2.776796221,1.806574276
3.496613957,3.578093435,3.524382942,2.40052131,2.43568934
3.496613957,3.149899057,2.731864231,2.72254236,3.253937314
3.496613957,3.230524279,3.306424314,3.53463666,2.565988792
3.496613957,3.101029962,2.908576822,3.998730165,3.871785185
3.496613957,3.955221956,3.768841165,2.771887599,2.481476142
3.496613957,2.847994005,2.983042728,3.100681027,3.634188373
3.496613957,3.903971741,3.700923921,3.706490615,3.269655474
3.496613957,4.052312492,3.630490294,4.555349362,4.161962573
3.496613957,3.161118262,3.21992701,2.128462761,2.030672096
3.496613957,3.983729676,4.053537009,4.441227485,4.757544592
3.496613957,3.784288094,4.130938226,3.628671374,3.131419104
3.496613957,3.409825145,3.588386742,2.209786372,2.779580014
3.496613957,4.507129209,4.4797015,4.391311829,4.545552736
3.496613957,3.147853206,3.172769108,3.336009713,3.409743087
3.496613957,4.261527973,4.133767728,4.556072749,5.172546698
3.496613957,2.886870322,3.227319439,3.686392164,3.330039943
3.496613957,3.557900967,3.001391749,2.662052947,2.656630578
3.496613957,3.732762794,3.501197103,1.282539621,2.065842383
3.496613957,3.359091756,3.368879151,4.038614532,3.800851388
3.496613957,3.592759515,3.543830054,5.06002099,5.199610586
3.496613957,4.235050879,4.52477253,5.444997684,5.784452325
3.496613957,3.019850354,3.105305862,1.233754295,0.916468873
3.496613957,3.358926989,3.41161697,3.458045657,3.322630268
3.496613957,3.831217736,3.870451678,4.734255108,4.782095484
3.496613957,3.200061576,3.221099188,4.867866213,4.712912046
3.496613957,3.413530911,3.493661072,4.171469278,4.053799277
3.496613957,2.893152777,2.853517597,3.116380878,2.581632543
3.496613957,2.826536388,3.014321061,1.967469618,1.805503073
3.496613957,3.86104328,3.860757225,4.813678814,5.265944085
3.496613957,3.515425704,3.512432669,2.983521933,3.059903957
3.496613957,3.160495878,3.136730321,3.42903555,2.622443339
3.496613957,4.23109958,4.107989622,3.952802451,3.333648113
