P_1_8,P_2_8,P_3_8,P_4_8,P_5_8,P_6_8,P_7_8,P_8_8
3.662404104,3.397261273,3.443221279,3.757298916,2.792745007,2.949315989,3.392116851,3.549469785
3.662404104,4.232032196,4.043093097,3.419464833,4.096085547,4.094741256,3.979296966,2.650207582
3.662404104,4.162924982,4.028725181,4.840302264,4.308904647,4.396172707,4.569661697,5.093763468
3.662404104,2.499845198,2.535533496,2.149633616,1.468958647,1.514008682,1.903063265,1.875893174
3.662404104,4.85769254,4.648761626,4.593905721,5.113165158,5.238368264,5.378369907,5.326523954
3.662404104,3.739189879,3.874205601,4.25718079,4.304959909,4.317787213,4.270418181,4.559049847
3.662404104,4.63318923,4.516866929,3.736662087,3.880439208,4.000931828,4.258866457,4.247606588
3.662404104,3.122939022,3.214282123,3.056089827,3.055204567,3.067710247,3.329059777,3.225479362
3.662404104,3.216014157,3.200606752,3.660382929,3.270709991,3.373157085,3.312230476,3.137791356
3.662404104,3.90443452,4.030674165,4.109091285,4.680684889,4.584871505,4.67414721,3.976011734
3.662404104,3.457252324,3.622247728,3.403475263,2.777239106,2.932977402,2.919902809,2.858918841
3.662404104,4.015257452,4.240040312,3.779921154,4.136591819,4.1989325,4.256036492,4.348007445
3.662404104,2.826140226,2.607770304,1.991648819,1.894168324,2.046021141,2.352569754,3.375967401
3.662404104,3.643834122,3.486424521,4.186207595,4.137143051,4.466854654,4.139068924,3.501080716
3.662404104,5.222346126,4.687560931,4.488074197,4.875313041,4.97216056,4.90838502,5.748295249
3.662404104,3.497228832,3.476842717,4.910369052,5.067558784,5.115529249,4.817733647,5.210690126
3.662404104,3.996642132,4.123006774,4.501879817,4.367243194,4.578323445,4.070944429,3.554537833
3.662404104,3.977178392,4.19320351,4.141176847,4.254006064,4.307899258,5.297946875,4.753310227
3.662404104,5.155054391,5.041643667,5.755902689,5.768679443,5.699909841,5.686722405,6.142598632
3.662404104,3.815877479,3.531738285,3.264157595,3.206833053,3.426566583,3.663470884,3.500958718
3.662404104,3.416910098,3.554432464,3.888004663,3.222402412,3.440916293,3.622471508,3.388010583
3.662404104,4.034889785,3.865561304,5.230695313,5.279407388,5.175323281,5.229892297,6.354308238
3.662404104,4.600975062,4.285734485,4.712752964,4.735513154,4.776802474,4.895555017,5.732113776
3.662404104,3.119427026,3.073416049,3.184651592,3.362586657,3.743044334,3.878089323,3.553420168
3.662404104,4.158552396,4.392675528,4.340348784,4.491206676,4.737540818,4.54437331,4.891732642
3.662404104,3.646480674,3.68110883,3.656050892,4.039290769,4.194315649,4.108499569,4.188482198
3.662404104,3.965559272,3.925943446,3.181203749,4.390580163,3.758361206,3.545814503,3.810491256
3.662404104,3.624949413,3.863650534,2.629466677,1.75273831,1.68397157,2.075649249,2.290966553
3.662404104,3.798197357,3.897510947,4.784995006,4.670295263,4.418907863,4.53861202,4.81714125
3.662404104,3.464836412,3.668694828,3.254189226,2.612679098,2.423804215,2.467138098,3.07535801
3.662404104,3.919980055,3.906888181,3.864672452,4.175750584,4.23266419,4.01416818,4.410691491
3.662404104,3.588754975,3.664356382,2.632410767,2.804583828,3.043085012,2.956051351,2.999656099
3.662404104,4.339386726,4.384692208,4.158669323,4.148583079,3.942205928,4.144706968,4.596082475
3.662404104,3.403015314,3.27156339,4.657121967,5.041195114,4.894698885,5.092721403,4.967365627
3.662404104,3.801193978,4.109118935,4.310471253,4.415713008,4.580716698,4.510692071,4.070915723
3.662404104,5.13318279,4.640387637,4.365213598,4.236521645,4.600767809,4.605826546,4.777798465
3.662404104,3.152505706,3.351699755,2.584558482,2.272589985,2.52527883,2.01341905,2.287125014
3.662404104,5.324880912,5.209218214,5.919690916,5.734587979,5.996701191,6.226642872,6.126706685
3.662404104,4.235819594,4.257725651,3.122822577,3.190974327,3.367365188,3.476486684,4.611345778
3.662404104,3.608776278,3.508758477,3.758959966,3.586543362,3.535798986,3.326302439,3.311293756
3.662404104,4.98579543,5.233856445,6.051041124,5.669104049,5.3310397,5.223775686,5.224796506
3.662404104,3.222110738,3.359298489,3.620665621,3.589762034,3.41008677,3.514835252,3.571845319
3.662404104,4.193705468,4.005862161,3.819623151,3.825394449,3.829146387,3.680766163,3.617313993
3.662404104,3.136248328,3.266740873,4.482905155,4.992797209,4.949029507,5.314723099,5.815470515
3.662404104,4.196239007,4.266335599,4.661370944,4.129866651,4.332010634,4.421452869,3.677405697
3.662404104,4.019979748,4.058852938,4.755598744,4.916308507,4.827298225,4.893854923,4.818633507
3.662404104,2.789552162,2.546737617,4.163564204,4.792820262,4.989290779,5.521542302,5.596218231
3.662404104,3.901321336,3.721220631,3.619741603,3.257138566,2.985792177,2.651829021,2.647897587
3.662404104,3.676877205,3.570655487,3.733311758,4.218695357,4.173027913,4.060614584,3.833250256
3.662404104,3.71158457,4.072729477,2.631134852,3.087083001,3.003649184,2.713718852,2.439959319
3.662404104,3.923027552,4.034084405,2.411774724,2.118962009,1.950473798,1.773191908,2.275908274
3.662404104,3.701509871,3.836747729,3.516852213,3.112362442,3.036563844,3.045295838,3.04157574
3.662404104,3.813763255,4.036970093,4.302197104,4.297864107,3.925641525,4.195828906,3.672062962
3.662404104,3.23135701,3.189286166,3.26028333,3.670935834,3.686850111,3.987045933,3.471291816
3.662404104,2.322271779,2.174751192,1.866898725,1.299156456,1.298253215,1.628051932,2.607268344
3.662404104,4.168221206,4.166731304,4.247539831,4.615871294,4.460684042,4.233048962,4.085711585
3.662404104,2.623874527,2.830023046,2.847598316,2.562407589,2.663873742,2.812912477,2.644962981
3.662404104,3.264888125,3.379627033,4.459235096,4.302269737,4.245355816,4.346618094,3.580381052
3.662404104,4.031106846,4.064307654,3.750999988,3.643782772,4.027581636,4.187620109,3.005625557
3.662404104,3.244335372,3.179337771,4.043986814,3.657100079,3.584335869,3.524927828,3.522858357
3.662404104,4.580110198,4.594822255,2.914392513,3.238839812,3.50364761,3.361200732,3.296035746
3.662404104,3.503315519,3.580667536,4.480206874,4.447196421,4.548222344,4.530509859,4.308454713
3.662404104,4.586491608,4.683778391,4.543982217,4.851969977,5.281001565,5.579893133,5.125596503
3.662404104,3.667043542,3.480142184,4.256841025,4.353165945,4.096915786,3.659058195,3.726160755
3.662404104,3.292518508,3.258582593,3.957974255,4.918954155,4.809984827,4.908971,4.491216303
3.662404104,4.90977868,4.865745904,4.921382593,4.277358604,4.000912471,4.521645664,4.885025962
3.662404104,3.799176023,4.087295817,4.124439701,3.925384941,3.191458786,2.959687559,2.886551348
