spot1,spot2,spot3,spot4,spot5,spot6,spot7,spot8
3.490478542,4.776891165,4.594391158,3.481033687,2.72612314,2.863021122,2.811634748,2.487349969
3.490478542,2.793145776,3.039335274,3.815210245,3.754601534,3.82701577,3.569740858,4.026051502
3.490478542,2.018500986,2.306526905,3.072052246,3.161699112,3.037639663,3.04381461,3.622401071
3.490478542,3.037564507,3.132698964,4.402348183,4.413218033,4.740070265,4.384519816,4.539090707
3.490478542,3.75762914,3.655517834,3.373273958,2.323976653,2.423964092,2.444033049,2.830666885
3.490478542,3.058618567,3.312833294,3.992945802,3.786609243,4.256538288,4.652436655,5.179307452
3.490478542,4.040636375,4.097245955,3.86379826,3.874855779,4.029154889,4.261291208,3.303335258
3.490478542,3.694286593,3.743890325,3.710838428,2.712001955,3.137280594,3.006678582,3.051929241
3.490478542,3.034222059,2.968061987,1.998619867,1.928597551,2.509977196,3.165035543,3.861220555
3.490478542,4.636641101,4.647676253,5.837830655,5.675968167,5.553319439,5.361976791,4.940206283
3.490478542,3.111222429,3.210210711,1.268522453,1.590423199,1.63315389,1.625568477,1.342592311
3.490478542,2.996317599,3.133945889,3.223760657,3.652004432,4.262425166,4.689475276,4.475418289
3.490478542,3.880179475,3.826272586,4.037002296,3.397223767,3.807731126,4.067841746,4.408911777
3.490478542,3.80153374,3.963098756,4.863060311,4.376517884,4.580803753,4.387377229,4.032386517
3.490478542,4.768065923,4.742464084,5.382586057,4.743363387,5.030090787,4.365699433,4.150426926
3.490478542,4.406622325,4.405362239,2.770907422,2.766099829,2.758383536,2.632043268,2.344741662
3.490478542,3.688827857,3.380487704,2.346883055,2.07735155,2.2613089,2.327724349,1.822846534
3.490478542,4.602459865,4.6155873,4.860349383,3.998798083,3.898314929,3.72142364,3.964357349
3.490478542,3.896679711,3.717298749,3.198651327,3.120976151,3.143116918,3.042452933,2.831193463
3.490478542,4.098605056,4.235782581,4.631100698,3.853236544,4.149591186,4.162855761,4.891309878
3.490478542,2.841861236,2.720101934,0.849529345,0.596520061,0.904473962,1.017305668,1.386115625
3.490478542,3.757606853,4.292972452,4.594914676,4.047170502,4.132529495,4.418070293,4.022490648
3.490478542,3.682392181,4.027776392,3.806609159,3.428798638,3.538915687,3.714715754,4.444675695
3.490478542,5.102697065,5.181662818,4.544682762,4.935354485,5.309792258,5.827675331,5.626673779
3.490478542,3.403134089,3.629355288,3.118551135,2.385064613,1.921324548,1.817225211,2.323174285
3.490478542,2.955161408,3.109061288,2.333676409,1.734880146,2.016903424,1.385884812,0.788754888
