P_1_3,P_2_3,P_3_3
3.708320009,2.078406448,2.488899319
3.708320009,4.295534662,3.952181466
3.708320009,3.543210581,3.584547046
3.708320009,4.154002071,3.98749144
3.708320009,4.199050998,4.079477392
3.708320009,2.561108647,2.59217749
3.708320009,4.829216954,4.644459393
3.708320009,3.819143997,3.939893321
3.708320009,4.611093172,4.508763271
3.708320009,3.204161181,3.285588839
3.708320009,3.238128217,3.224627076
3.708320009,3.926728916,4.036552725
3.708320009,3.549474898,3.694584995
3.708320009,4.119948528,4.31745276
3.708320009,2.972013075,2.778614693
3.708320009,3.71867219,3.579455471
3.708320009,5.193190821,4.719849601
3.708320009,3.56488762,3.54721321
3.708320009,4.063422723,4.175204179
3.708320009,4.080517878,4.271669031
3.708320009,5.198481949,5.099375404
3.708320009,3.851469118,3.600859035
3.708320009,3.507536953,3.628782208
3.708320009,4.044608803,3.894352627
3.708320009,4.583450092,4.304849122
3.708320009,3.200739508,3.160342971
3.708320009,4.193084844,4.401291778
3.708320009,3.749098802,3.780024193
3.708320009,3.93738246,3.902568498
3.708320009,3.723455936,3.934662858
3.708320009,3.890106027,3.978211367
3.708320009,3.567980662,3.747932415
3.708320009,3.953893725,3.94386705
3.708320009,3.646789675,3.712275949
3.708320009,4.418024613,4.458248495
3.708320009,3.468325894,3.352570942
3.708320009,3.866331789,4.138430882
3.708320009,5.100473831,4.664509559
3.708320009,3.209802474,3.385560464
3.708320009,5.318887101,5.216085635
3.708320009,4.327297724,4.346282728
3.708320009,3.609360561,3.521239512
3.708320009,5.054404932,5.27344663
3.708320009,3.302804489,3.423697627
3.708320009,4.18924339,4.02323325
3.708320009,3.120505019,3.236331187
3.708320009,4.209324989,4.271353346
3.708320009,4.072239138,4.106432555
3.708320009,2.826573506,2.611152564
3.708320009,3.903421556,3.743286163
3.708320009,3.698714583,3.604049928
3.708320009,3.849486437,4.169630216
3.708320009,3.933638972,4.030462258
3.708320009,3.727907323,3.846713731
3.708320009,3.858772635,4.055681572
3.708320009,3.274086307,3.238279785
3.708320009,2.427801759,2.297640189
3.708320009,4.21070384,4.208757509
3.708320009,2.727778602,2.908786607
3.708320009,3.232634715,3.333818748
3.708320009,4.027958029,4.057834684
3.708320009,3.252000101,3.195205882
3.708320009,4.529433637,4.541876887
3.708320009,3.552628965,3.621105999
3.708320009,4.684048827,4.76982658
3.708320009,3.751558859,3.586532143
3.708320009,3.334020761,3.303689002
3.708320009,4.895976278,4.857638605
3.708320009,3.875804529,4.129288026
3.708320009,4.50955892,4.441836659
3.708320009,2.839072615,2.536408605
3.708320009,2.481441412,2.556734032
3.708320009,2.579112748,2.323685775
3.708320009,2.555647577,2.733603075
3.708320009,3.317650602,3.57227318
