P_1_6,P_2_6,P_3_6,P_4_6,P_5_6,P_6_6
3.659297345,3.505849281,3.487129709,4.958386195,5.098889884,5.145654398
3.659297345,4.01458009,4.132125691,4.543872294,4.404973062,4.610746869
3.659297345,4.019966631,4.220953659,4.145323525,4.258239496,4.310777844
3.659297345,5.179890045,5.075219947,5.802320491,5.819249964,5.752209193
3.659297345,3.808693394,3.544885409,3.274194724,3.223609939,3.437819485
3.659297345,3.43978968,3.567438446,3.896488826,3.226068617,3.439089176
3.659297345,4.014197471,3.856367937,5.267362638,5.315639887,5.214172399
3.659297345,4.572724463,4.279660576,4.704070127,4.717598379,4.757849708
3.659297345,3.129965559,3.087372478,3.226295377,3.394310956,3.76520413
3.659297345,4.157446362,4.375978841,4.347983285,4.506265786,4.74640722
3.659297345,3.682199725,3.714610469,3.672507217,4.082762367,4.233890004
3.659297345,3.917329362,3.880634497,3.122972681,4.32992982,3.713604509
3.659297345,3.65740233,3.879480555,2.617180237,1.73462302,1.667585038
3.659297345,3.829538272,3.922092579,4.824997453,4.709530446,4.464462791
3.659297345,3.497309234,3.686682084,3.261324484,2.613245077,2.429118407
3.659297345,3.91370625,3.902583468,3.879866452,4.190151906,4.245634734
3.659297345,3.592550498,3.661931615,2.561438399,2.72851968,2.961025071
3.659297345,4.372320525,4.41456387,4.207687547,4.192608976,3.991420037
3.659297345,3.408142669,3.286222455,4.716098746,5.113935399,4.971122007
3.659297345,3.814114195,4.100352298,4.334726953,4.453627044,4.614482629
3.659297345,5.105025893,4.646595663,4.380758542,4.27473752,4.629826731
3.659297345,3.147123206,3.332111254,2.542973095,2.213538001,2.459874384
3.659297345,5.318974995,5.21105384,5.962288779,5.799037115,6.054560941
3.659297345,4.275559204,4.295669596,3.13012821,3.224022721,3.39597921
3.659297345,3.573310932,3.48051388,3.740777472,3.552590626,3.503121936
3.659297345,5.02465117,5.255133942,6.084626093,5.690330801,5.360765208
3.659297345,3.234262561,3.361561961,3.626032189,3.594275543,3.419117219
3.659297345,4.166379568,3.991751169,3.82765345,3.863162813,3.866820429
3.659297345,3.080122345,3.201774743,4.462739987,4.99752942,4.954862014
3.659297345,4.181077085,4.246296072,4.658220947,4.113898932,4.310961123
3.659297345,4.028357285,4.064386049,4.815874207,4.942967282,4.856194671
3.659297345,2.762961119,2.536665907,4.215896253,4.835457224,5.026988577
3.659297345,3.872715563,3.704627835,3.61803067,3.266839014,3.002314129
3.659297345,3.657436344,3.558151545,3.711711413,4.224307415,4.179788026
3.659297345,3.772954072,4.109354226,2.604038346,3.052492776,2.971156441
3.659297345,3.900728482,4.00307248,2.383532917,2.080389575,1.916137067
3.659297345,3.685706354,3.810946233,3.510612084,3.091605087,3.017712026
3.659297345,3.813038338,4.020301773,4.328902844,4.319789597,3.956924491
3.659297345,3.217485249,3.179307351,3.265471332,3.662207423,3.677721623
3.659297345,2.333687831,2.196689772,1.856919579,1.297461127,1.296580593
3.659297345,4.172795407,4.170982814,4.254067225,4.598573371,4.447287444
3.659297345,2.640161284,2.831006066,2.820829402,2.539189256,2.638104604
3.659297345,3.199921197,3.306439652,4.417182294,4.238004992,4.182521856
3.659297345,4.001456542,4.032684787,3.739256168,3.622660509,3.996810875
3.659297345,3.206516012,3.146531488,4.019013944,3.625339539,3.554404582
3.659297345,4.528560059,4.541857671,2.843717221,3.174077368,3.43222804
3.659297345,3.499392906,3.571381716,4.468481356,4.440793098,4.539279282
3.659297345,4.637395818,4.727701712,4.588416978,4.890978318,5.309224282
3.659297345,3.690674607,3.517024394,4.287707292,4.387467279,4.137659112
3.659297345,3.279015031,3.247235505,3.9668393,4.942729066,4.836499168
3.659297345,4.890233988,4.849690834,4.909804483,4.242724709,3.973228284
3.659297345,3.819988305,4.087059218,4.144556154,3.952756874,3.237281229
3.659297345,4.489388237,4.418154914,3.935819069,4.388199495,4.366023798
3.659297345,2.788395549,2.470176182,3.399669064,3.797955627,3.585980364
3.659297345,2.40355805,2.482603326,2.873252293,2.317714706,1.969465288
3.659297345,2.487617466,2.219130815,3.100079991,3.654977409,3.796934118
3.659297345,2.483820494,2.670351546,3.847996244,3.568651707,3.418623767
3.659297345,3.24950183,3.517318133,3.360462787,3.916936741,4.133848639
3.659297345,3.817881484,3.389756455,3.495139872,3.344170995,3.332170142
3.659297345,4.089379622,4.186495992,4.177346583,4.725784239,5.271814263
3.659297345,3.090971042,3.078533335,2.110170374,3.10818633,3.023357522
3.659297345,4.166043534,4.184743419,4.932122683,4.810968926,4.478344718
