P_1_2,P_2_2
3.653214072,3.381900258
3.653214072,3.775604919
3.653214072,3.021102539
3.653214072,4.044836386
3.653214072,3.304299998
3.653214072,3.995359191
3.653214072,3.752884692
3.653214072,5.086757336
3.653214072,3.97022764
3.653214072,3.935754828
3.653214072,3.933866015
3.653214072,4.066270709
3.653214072,2.716946139
3.653214072,1.894845805
3.653214072,3.720284499
3.653214072,4.09623513
3.653214072,4.185787037
3.653214072,4.096285612
3.653214072,4.496697512
3.653214072,4.688789993
3.653214072,3.693291499
3.653214072,4.416903018
3.653214072,3.356508231
3.653214072,4.560868581
3.653214072,3.157756364
3.653214072,2.455355397
3.653214072,2.938949007
3.653214072,2.704057273
3.653214072,4.272163106
3.653214072,3.464390148
3.653214072,3.703920688
3.653214072,4.114789083
3.653214072,4.043457364
3.653214072,2.67101981
3.653214072,3.520577978
3.653214072,3.632109473
3.653214072,3.850377932
3.653214072,3.692234446
3.653214072,5.351550587
3.653214072,4.368100058
3.653214072,4.773848938
3.653214072,2.3069601
3.653214072,3.345814778
3.653214072,3.873591142
3.653214072,3.855535376
3.653214072,4.359754945
3.653214072,3.767180295
3.653214072,3.52622046
3.653214072,3.74105834
3.653214072,4.518663641
3.653214072,3.581035203
3.653214072,4.137963139
3.653214072,3.502290766
3.653214072,2.523178631
3.653214072,2.492712307
3.653214072,3.356078679
3.653214072,4.526121794
3.653214072,4.161110675
3.653214072,3.314536208
3.653214072,3.712842997
3.653214072,3.262880746
3.653214072,3.231449992
3.653214072,3.891297968
3.653214072,4.623049785
3.653214072,3.125561363
3.653214072,3.266180259
3.653214072,2.783156756
3.653214072,4.170893688
3.653214072,4.245305937
3.653214072,3.518362148
3.653214072,3.277119307
3.653214072,4.693784141
3.653214072,3.232389388
3.653214072,4.110156548
3.653214072,3.583808314
3.653214072,3.986863069
3.653214072,5.076609931
3.653214072,4.542333242
3.653214072,3.418917975
3.653214072,2.746829563
3.653214072,4.405637695
3.653214072,4.494232619
3.653214072,3.285507745
3.653214072,2.721725379
3.653214072,4.599460494
3.653214072,3.535885158
3.653214072,3.690930167
3.653214072,2.622996739
3.653214072,2.541960968
3.653214072,3.92859007
3.653214072,3.387172236
3.653214072,4.207142533
3.653214072,3.901249247
3.653214072,3.143841589
3.653214072,4.162977895
3.653214072,2.37471617
3.653214072,3.668166847
3.653214072,3.556166706
3.653214072,3.795781153
3.653214072,3.390428495
3.653214072,3.825581139
3.653214072,3.77758611
3.653214072,2.96007547
3.653214072,4.247968514
3.653214072,2.517181167
3.653214072,3.88481134
3.653214072,3.307616801
3.653214072,4.463298284
3.653214072,2.631871319
3.653214072,4.268118301
3.653214072,4.714555495
3.653214072,2.749684183
3.653214072,3.828813397
3.653214072,3.888211803
3.653214072,4.030283905
3.653214072,4.869883999
3.653214072,3.574176925
3.653214072,4.595298575
3.653214072,3.209015091
3.653214072,3.431876244
3.653214072,2.605583754
3.653214072,3.63374603
3.653214072,2.950891793
3.653214072,3.93327607
3.653214072,3.627148194
3.653214072,3.465919238
3.653214072,3.711637754
3.653214072,2.665625181
3.653214072,4.278598147
3.653214072,3.460799112
3.653214072,3.992518162
3.653214072,2.910339375
3.653214072,3.646462115
3.653214072,2.552564628
3.653214072,3.754235467
3.653214072,4.127666192
3.653214072,3.333918413
3.653214072,3.987523945
3.653214072,2.899288802
3.653214072,3.057177892
3.653214072,3.586406041
3.653214072,2.516626591
3.653214072,2.518321087
3.653214072,3.257981827
3.653214072,3.213633502
3.653214072,3.309387202
3.653214072,3.889097187
3.653214072,3.031099974
3.653214072,3.158224296
