P_1_4,P_2_4,P_3_4,P_4_4
3.656268689,3.729236882,3.827454821,4.387102539
3.656268689,4.019803123,3.855970801,5.024479988
3.656268689,3.454550756,3.646473658,2.625214067
3.656268689,3.04468847,3.140604967,4.66999733
3.656268689,4.591638368,4.698069148,4.339315262
3.656268689,2.052972799,2.362759452,3.324759285
3.656268689,2.491168913,2.598380583,2.619706413
3.656268689,3.427262018,3.530050644,3.841812447
3.656268689,3.118690314,2.822972908,1.867572714
3.656268689,1.541011334,1.698474041,1.887536654
3.656268689,4.119421605,4.673748914,5.368165179
3.656268689,4.360520805,4.417552771,4.967730474
3.656268689,4.742233872,4.449972102,5.350994852
3.656268689,4.162617075,4.158675229,5.78304184
3.656268689,4.441773687,4.579219386,5.983913393
3.656268689,3.546595865,3.267988242,2.928523028
3.656268689,4.250761083,4.336710386,4.205347065
3.656268689,3.877000876,3.947409544,3.054483803
3.656268689,4.393864466,4.576386343,4.898167489
3.656268689,3.797784518,3.608935639,3.855458524
3.656268689,1.998532483,2.412543864,0.989451173
3.656268689,4.253507103,3.90721088,4.483915321
3.656268689,3.488340841,3.530031618,3.860828048
3.656268689,4.109558549,3.941620684,3.281764841
3.656268689,4.155376462,4.034777939,4.862335677
3.656268689,2.489474415,2.520809562,2.125590496
3.656268689,4.796299358,4.60995816,4.566590749
3.656268689,3.768984444,3.890768761,4.288643992
3.656268689,4.5744522,4.471245186,3.72896035
3.656268689,3.143503863,3.225629472,3.011783646
3.656268689,3.178050717,3.164433852,3.659833009
3.656268689,3.878405838,3.989170995,4.018898354
3.656268689,3.49471209,3.641065988,3.370277731
3.656268689,4.074923711,4.274120837,3.837872616
3.656268689,2.907392986,2.712336903,2.052506673
3.656268689,3.666797581,3.526387576,4.164987292
3.656268689,5.166486264,4.689087833,4.523099731
3.656268689,3.510387907,3.492562002,4.988668535
3.656268689,4.01743301,4.130172593,4.559888905
3.656268689,4.034819979,4.227609572,4.140007932
3.656268689,5.171867711,5.071911681,5.80842773
3.656268689,3.801861354,3.549103185,3.275731963
3.656268689,3.452058264,3.574342764,3.902553279
3.656268689,3.998297937,3.846753851,5.286357141
3.656268689,4.546337253,4.265348274,4.69026571
3.656268689,3.140023782,3.099280989,3.252459145
3.656268689,4.149308465,4.35930003,4.343196751
3.656268689,3.697743576,3.728934042,3.678238478
3.656268689,3.889241239,3.854128871,3.086882455
3.656268689,3.671662986,3.884680253,2.60315967
3.656268689,3.841157797,3.930018324,4.844355789
3.656268689,3.513533747,3.695027944,3.262513661
3.656268689,3.906034351,3.895921733,3.882733848
3.656268689,3.593688031,3.659735616,2.520748536
3.656268689,4.378087959,4.418656617,4.220356384
3.656268689,3.412177871,3.295430734,4.753233838
3.656268689,3.816977731,4.091409103,4.343076421
3.656268689,5.072186593,4.632485484,4.370132596
3.656268689,3.149241453,3.32650594,2.523170377
3.656268689,5.294328181,5.190645559,5.965180764
3.656268689,4.285812361,4.304960094,3.119362971
3.656268689,3.555620001,3.466743629,3.733075445
3.656268689,5.025331297,5.246250496,6.08532776
3.656268689,3.243831014,3.365760379,3.632881419
3.656268689,4.145401437,3.977968353,3.824106029
3.656268689,3.05841969,3.175238653,4.463654568
3.656268689,4.16582583,4.228385859,4.650390918
3.656268689,4.026399921,4.060886425,4.842576997
3.656268689,2.759470763,2.542203355,4.259343478
3.656268689,3.854700622,3.69319264,3.613575278
3.656268689,3.646499298,3.551023231,3.700742531
3.656268689,3.799844829,4.122732698,2.579592537
3.656268689,3.885433849,3.983087049,2.358062385
3.656268689,3.676190358,3.796015107,3.504066375
3.656268689,3.809289543,4.007886271,4.339204042
3.656268689,3.214622612,3.178509177,3.272524606
3.656268689,2.353891977,2.222614736,1.86565121
3.656268689,4.167228217,4.165265204,4.249824615
3.656268689,2.658989428,2.84154893,2.817629877
3.656268689,3.172463441,3.274514766,4.405326258
3.656268689,3.981362933,4.011495675,3.72663851
3.656268689,3.192159394,3.134878368,4.014919283
3.656268689,4.491398736,4.503948643,2.789880465
3.656268689,3.497919997,3.566983976,4.466675067
3.656268689,4.64865321,4.7351662,4.595544596
3.656268689,3.700245626,3.533804396,4.304778494
3.656268689,3.275580148,3.244988403,3.977614375
3.656268689,4.864198265,4.825531983,4.888109966
